Read: k = 0, row = 0, col = 0, A = 296965303
Complete symmetry: k = 588, row = 88, col = 91, A = 74699095
Read: k = 302, row = 92, col = 88, A = -7274816
Complete symmetry: k = 589, row = 88, col = 92, A = -7274816
Read: k = 303, row = 95, col = 88, A = 79113623
Complete symmetry: k = 590, row = 88, col = 95, A = 79113623
Read: k = 304, row = 89, col = 89, A = 7356559
Read: k = 305, row = 90, col = 89, A = -74699095
Complete symmetry: k = 591, row = 89, col = 90, A = -74699095
Read: k = 306, row = 93, col = 89, A = -7274816
Complete symmetry: k = 592, row = 89, col = 93, A = -7274816
Read: k = 307, row = 94, col = 89, A = -79113623
Complete symmetry: k = 593, row = 89, col = 94, A = -79113623
Read: k = 308, row = 90, col = 90, A = 1603747152
Read: k = 309, row = 93, col = 90, A = 79113623
Complete symmetry: k = 594, row = 90, col = 93, A = 79113623
Read: k = 310, row = 94, col = 90, A = 436153748
Complete symmetry: k = 595, row = 90, col = 94, A = 436153748
Read: k = 311, row = 91, col = 91, A = 1603747152
Read: k = 312, row = 92, col = 91, A = -79113623
Complete symmetry: k = 596, row = 91, col = 92, A = -79113623
Read: k = 313, row = 95, col = 91, A = 436153748
Complete symmetry: k = 597, row = 91, col = 95, A = 436153748
Read: k = 314, row = 92, col = 92, A = 34924195
Read: k = 315, row = 95, col = 92, A = 77105368
Complete symmetry: k = 598, row = 92, col = 95, A = 77105368
Read: k = 316, row = 96, col = 92, A = -27649379
Complete symmetry: k = 599, row = 92, col = 96, A = -27649379
Read: k = 317, row = 99, col = 92, A = 156218991
Complete symmetry: k = 600, row = 92, col = 99, A = 156218991
Read: k = 318, row = 93, col = 93, A = 34924195
Read: k = 319, row = 94, col = 93, A = -77105368
Complete symmetry: k = 601, row = 93, col = 94, A = -77105368
Read: k = 320, row = 97, col = 93, A = -27649379
Complete symmetry: k = 602, row = 93, col = 97, A = -27649379
Read: k = 321, row = 98, col = 93, A = -156218991
Complete symmetry: k = 603, row = 93, col = 98, A = -156218991
Read: k = 322, row = 94, col = 94, A = 2983709265
Read: k = 323, row = 97, col = 94, A = 156218991
Complete symmetry: k = 604, row = 94, col = 97, A = 156218991
Read: k = 324, row = 98, col = 94, A = 66132874
Complete symmetry: k = 605, row = 94, col = 98, A = 66132874
Read: k = 325, row = 95, col = 95, A = 2983709265
Read: k = 326, row = 96, col = 95, A = -156218991
Complete symmetry: k = 606, row = 95, col = 96, A = -156218991
Read: k = 327, row = 99, col = 95, A = 66132874
Complete symmetry: k = 607, row = 95, col = 99, A = 66132874
Read: k = 328, row = 96, col = 96, A = 48551841
Read: k = 329, row = 99, col = 96, A = -53359541
Complete symmetry: k = 608, row = 96, col = 99, A = -53359541
Read: k = 330, row = 100, col = 96, A = -11655462
Complete symmetry: k = 609, row = 96, col = 100, A = -11655462
Read: k = 331, row = 103, col = 96, A = 102859450
Complete symmetry: k = 610, row = 96, col = 103, A = 102859450
Read: k = 332, row = 97, col = 97, A = 52768841
Read: k = 333, row = 98, col = 97, A = 53359541
Complete symmetry: k = 611, row = 97, col = 98, A = 53359541
Read: k = 334, row = 101, col = 97, A = -11655462
Complete symmetry: k = 612, row = 97, col = 101, A = -11655462
Read: k = 335, row = 102, col = 97, A = -102859450
Complete symmetry: k = 613, row = 97, col = 102, A = -102859450
Read: k = 336, row = 98, col = 98, A = 3129624247
Read: k = 337, row = 101, col = 98, A = 102859450
Complete symmetry: k = 614, row = 98, col = 101, A = 102859450
Read: k = 338, row = 102, col = 98, A = 384986772
Complete symmetry: k = 615, row = 98, col = 102, A = 384986772
Read: k = 339, row = 99, col = 99, A = 3129624247
Read: k = 340, row = 100, col = 99, A = -102859450
Complete symmetry: k = 616, row = 99, col = 100, A = -102859450
Read: k = 341, row = 103, col = 99, A = 384986772
Complete symmetry: k = 617, row = 99, col = 103, A = 384986772
Read: k = 342, row = 100, col = 100, A = 22825330
Read: k = 343, row = 103, col = 100, A = -2330634
Complete symmetry: k = 618, row = 100, col = 103, A = -2330634
Read: k = 344, row = 104, col = 100, A = -11169868
Complete symmetry: k = 619, row = 100, col = 104, A = -11169868
Read: k = 345, row = 107, col = 100, A = 100528816
Complete symmetry: k = 620, row = 100, col = 107, A = 100528816
Read: k = 346, row = 101, col = 101, A = 22825330
Read: k = 347, row = 102, col = 101, A = 2330634
Complete symmetry: k = 621, row = 101, col = 102, A = 2330634
Read: k = 348, row = 105, col = 101, A = -11169868
Complete symmetry: k = 622, row = 101, col = 105, A = -11169868
Read: k = 349, row = 106, col = 101, A = -100528816
Complete symmetry: k = 623, row = 101, col = 106, A = -100528816
Read: k = 350, row = 102, col = 102, A = 2847825200
Read: k = 351, row = 105, col = 102, A = 100528816
Complete symmetry: k = 624, row = 102, col = 105, A = 100528816
Read: k = 352, row = 106, col = 102, A = 392176011
Complete symmetry: k = 625, row = 102, col = 106, A = 392176011
Read: k = 353, row = 103, col = 103, A = 2847825200
Read: k = 354, row = 104, col = 103, A = -100528816
Complete symmetry: k = 626, row = 103, col = 104, A = -100528816
Read: k = 355, row = 107, col = 103, A = 392176011
Complete symmetry: k = 627, row = 103, col = 107, A = 392176011
Read: k = 356, row = 104, col = 104, A = 80076045
Read: k = 357, row = 107, col = 104, A = 102312385
Complete symmetry: k = 628, row = 104, col = 107, A = 102312385
Read: k = 358, row = 108, col = 104, A = -59659177
Complete symmetry: k = 629, row = 104, col = 108, A = -59659177
Read: k = 359, row = 111, col = 104, A = 202841201
Complete symmetry: k = 630, row = 104, col = 111, A = 202841201
Read: k = 360, row = 105, col = 105, A = 84293045
Read: k = 361, row = 106, col = 105, A = -102312385
Complete symmetry: k = 631, row = 105, col = 106, A = -102312385
Read: k = 362, row = 109, col = 105, A = -59659177
Complete symmetry: k = 632, row = 105, col = 109, A = -59659177
Read: k = 363, row = 110, col = 105, A = -202841201
Complete symmetry: k = 633, row = 105, col = 110, A = -202841201
Read: k = 364, row = 106, col = 106, A = 3463840995
Read: k = 365, row = 109, col = 106, A = 202841201
Complete symmetry: k = 634, row = 106, col = 109, A = 202841201
Read: k = 366, row = 110, col = 106, A = -667178153
Complete symmetry: k = 635, row = 106, col = 110, A = -667178153
Read: k = 367, row = 107, col = 107, A = 3463840995
Read: k = 368, row = 108, col = 107, A = -202841201
Complete symmetry: k = 636, row = 107, col = 108, A = -202841201
Read: k = 369, row = 111, col = 107, A = -667178153
Complete symmetry: k = 637, row = 107, col = 111, A = -667178153
Read: k = 370, row = 108, col = 108, A = 59659177
Read: k = 371, row = 111, col = 108, A = -202841201
Complete symmetry: k = 638, row = 108, col = 111, A = -202841201
Read: k = 372, row = 109, col = 109, A = 59659177
Read: k = 373, row = 110, col = 109, A = 202841201
Complete symmetry: k = 639, row = 109, col = 110, A = 202841201
Read: k = 374, row = 110, col = 110, A = 2046498317
Read: k = 375, row = 111, col = 111, A = 2046498317
Matrix: CSR not sorted
0 0 296965303.256000
1 3 4507339372.820000
2 4 -296965303.256000
3 7 4507339372.820000
4 113 296965303.256000
5 114 -4507339372.820000
6 117 -296965303.256000
7 118 -4507339372.820000
8 226 167239646968.000000
9 229 4507339372.820000
10 230 -30414852966.400002
11 339 167239646968.000000
12 340 -4507339372.820000
13 343 -30414852966.400002
14 452 393237959.405000
15 455 -4138133736.490000
16 456 -96272656.149300
17 459 369205636.333000
18 565 393237959.405000
19 566 4138133736.490000
20 569 -96272656.149300
21 570 -369205636.333000
22 678 171258001691.000000
23 681 369205636.333000
24 682 -1186547492.880000
25 791 171258001691.000000
26 792 -369205636.333000
27 795 -1186547492.880000
28 904 196873924.302000
29 907 42562563.091900
30 908 -100431268.152000
31 911 411768199.424000
32 1017 196873924.302000
33 1018 -42562563.091900
34 1021 -100431268.152000
35 1022 -411768199.424000
36 1130 8484384828.990000
37 1133 411768199.424000
38 1134 -1089530870.170000
39 1243 8484384828.990000
40 1244 -411768199.424000
41 1247 -1089530870.170000
42 1356 201032536.305000
43 1360 -100431268.152000
44 1363 411768199.424000
45 1469 201032536.305000
46 1473 -100431268.152000
47 1474 -411768199.424000
48 1582 8932060210.889999
49 1585 411768199.424000
50 1586 -1089530870.170000
51 1695 8932060210.889999
52 1696 -411768199.424000
53 1699 -1089530870.170000
54 1808 201032536.305000
55 1812 -100431268.152000
56 1815 411768199.424000
57 1921 201032536.305000
58 1925 -100431268.152000
59 1926 -411768199.424000
60 2034 8932060210.889999
61 2037 411768199.424000
62 2038 -1089530870.170000
63 2147 8932060210.889999
64 2148 -411768199.424000
65 2151 -1089530870.170000
66 2260 201032536.305000
67 2264 -100431268.152000
68 2267 411768199.424000
69 2373 201032536.305000
70 2377 -100431268.152000
71 2378 -411768199.424000
72 2486 8932060210.889999
73 2489 411768199.424000
74 2490 -1089530870.170000
75 2599 8932060210.889999
76 2600 -411768199.424000
77 2603 -1089530870.170000
78 2712 201032536.305000
79 2715 0.000005
80 2716 -100431268.152000
81 2719 411768199.424000
82 2825 201032536.305000
83 2826 -0.000005
84 2829 -100431268.152000
85 2830 -411768199.424000
86 2938 8932060210.889999
87 2941 411768199.424000
88 2942 -1089530870.170000
89 3051 8932060210.889999
90 3052 -411768199.424000
91 3055 -1089530870.170000
92 3164 118560149.348000
93 3167 -220955086.724000
94 3168 -17958881.195400
95 3171 190813112.701000
96 3277 118560149.348000
97 3278 220955086.724000
98 3281 -17958881.195400
99 3282 -190813112.701000
100 3390 7565315898.480000
101 3393 190813112.701000
102 3394 955492851.856000
103 3503 7565315898.480000
104 3504 -190813112.701000
105 3507 955492851.856000
106 3616 207459981.986000
107 3619 229121326.651000
108 3620 -189501100.790000
109 3623 419934439.351000
110 3729 207459981.986000
111 3730 -229121326.651000
112 3733 -189501100.790000
113 3734 -419934439.351000
114 3842 8533651124.350000
115 3845 419934439.351000
116 3846 -3573215896.120000
117 3955 8533651124.350000
118 3956 -419934439.351000
119 3959 -3573215896.120000
120 4068 189831384.175000
121 4071 -405856110.066000
122 4072 -330283.384982
123 4075 14078329.284900
124 4181 189831384.175000
125 4182 405856110.066000
126 4185 -330283.384982
127 4186 -14078329.284900
128 4294 6241431243.190000
129 4297 14078329.284900
130 4298 393111659.667000
131 4407 6241431243.190000
132 4408 -14078329.284900
133 4411 393111659.667000
134 4520 42437449.228000
135 4523 257197086.659000
136 4524 -42107165.843000
137 4527 271275415.944000
138 4633 42437449.228000
139 4634 -257197086.659000
140 4637 -42107165.843000
141 4638 -271275415.944000
142 4746 4057458593.980000
143 4749 271275415.944000
144 4750 244991052.316000
145 4859 4057458593.980000
146 4860 -271275415.944000
147 4863 244991052.316000
148 4972 43166557.656700
149 4975 -250959150.035000
150 4976 -550091.813682
151 4979 20316265.908800
152 5085 43166557.656700
153 5086 250959150.035000
154 5089 -550091.813682
155 5090 -20316265.908800
156 5198 4262854087.300000
157 5201 20316265.908800
158 5202 488199576.171000
159 5311 4262854087.300000
160 5312 -20316265.908800
161 5315 488199576.171000
162 5424 583761.425065
163 5427 -17216557.310800
164 5428 -33669.611383
165 5431 3099708.597970
166 5537 583761.425065
167 5538 17216557.310800
168 5541 -33669.611383
169 5542 -3099708.597970
170 5650 1393658877.880000
171 5653 3099708.597970
172 5654 189536372.902000
173 5763 1393658877.880000
174 5764 -3099708.597970
175 5767 189536372.902000
176 5876 38798237.669700
177 5879 255072314.670000
178 5880 -38764568.058300
179 5883 258172023.268000
180 5989 38798237.669700
181 5990 -255072314.670000
182 5993 -38764568.058300
183 5994 -258172023.268000
184 6102 3510285309.830000
185 6105 258172023.268000
186 6106 309763512.804000
187 6215 3510285309.830000
188 6216 -258172023.268000
189 6219 309763512.804000
190 6328 40183435.616300
191 6331 -230234655.724000
192 6332 -909567.558023
193 6335 27937367.544700
194 6441 40183435.616300
195 6442 230234655.724000
196 6445 -909567.558023
197 6446 -27937367.544700
198 6554 4292844182.190000
199 6557 27937367.544700
200 6558 552436143.207000
201 6667 4292844182.190000
202 6668 -27937367.544700
203 6671 552436143.207000
204 6780 3409726.069780
205 6783 24565961.202200
206 6784 -2500158.511760
207 6787 52503328.746900
208 6893 3409726.069780
209 6894 -24565961.202200
210 6897 -2500158.511760
211 6898 -52503328.746900
212 7006 2686440534.460000
213 7009 52503328.746900
214 7010 682455617.971000
215 7119 2686440534.460000
216 7120 -52503328.746900
217 7123 682455617.971000
218 7232 8801000.250060
219 7235 42009297.327600
220 7236 -6300841.738300
221 7239 94512626.074500
222 7345 8801000.250060
223 7346 -42009297.327600
224 7349 -6300841.738300
225 7350 -94512626.074500
226 7458 3547183580.520000
227 7461 94512626.074500
228 7462 810879391.117000
229 7571 3547183580.520000
230 7572 -94512626.074500
231 7575 810879391.117000
232 7684 12601683.476600
233 7688 -6300841.738300
234 7691 94512626.074500
235 7797 12601683.476600
236 7801 -6300841.738300
237 7802 -94512626.074500
238 7910 4048998782.230000
239 7913 94512626.074500
240 7914 810879391.117000
241 8023 4048998782.230000
242 8024 -94512626.074500
243 8027 810879391.117000
244 8136 28373429.047200
245 8139 170358421.633000
246 8140 -22072587.308900
247 8143 264871047.707000
248 8249 28373429.047200
249 8250 -170358421.633000
250 8253 -22072587.308900
251 8254 -264871047.707000
252 8362 6930451963.610000
253 8365 264871047.707000
254 8366 1450952572.490000
255 8475 6930451963.610000
256 8476 -264871047.707000
257 8479 1450952572.490000
258 8588 23543789.287000
259 8591 -235520568.245000
260 8592 -1471201.978070
261 8595 29350479.462500
262 8701 23543789.287000
263 8702 235520568.245000
264 8705 -1471201.978070
265 8706 -29350479.462500
266 8814 5710148773.100000
267 8817 29350479.462500
268 8818 366887929.939000
269 8927 5710148773.100000
270 8928 -29350479.462500
271 8931 366887929.939000
272 9040 9441904.989230
273 9043 -27046371.989800
274 9044 -30703.011163
275 9047 2304107.472760
276 9153 29001904.989200
277 9154 27046371.989800
278 9157 -30703.011163
279 9158 -2304107.472760
280 9266 1035235069.630000
281 9269 2304107.472760
282 9270 114784621.567000
283 9379 1035235069.630000
284 9380 -2304107.472760
285 9383 114784621.567000
286 9492 112445.943643
287 9495 2110419.595800
288 9496 -81742.932480
289 9499 4414527.068560
290 9605 112445.943643
291 9606 -2110419.595800
292 9609 -81742.932480
293 9610 -4414527.068560
294 9718 550218479.924000
295 9721 4414527.068560
296 9722 157633457.771000
297 9831 550218479.924000
298 9832 -4414527.068560
299 9835 157633457.771000
300 9944 7356558.795250
301 9947 74699095.439000
302 9948 -7274815.862770
303 9951 79113622.507600
304 10057 7356558.795250
305 10058 -74699095.439000
306 10061 -7274815.862770
307 10062 -79113622.507600
308 10170 1603747152.230000
309 10173 79113622.507600
310 10174 436153748.219000
311 10283 1603747152.230000
312 10284 -79113622.507600
313 10287 436153748.219000
314 10396 34924194.796500
315 10399 77105368.468100
316 10400 -27649378.933800
317 10403 156218990.976000
318 10509 34924194.796500
319 10510 -77105368.468100
320 10513 -27649378.933800
321 10514 -156218990.976000
322 10622 2983709265.110000
323 10625 156218990.976000
324 10626 66132874.234100
325 10735 2983709265.110000
326 10736 -156218990.976000
327 10739 66132874.234100
328 10848 48551840.707500
329 10851 -53359540.822500
330 10852 -11655461.773700
331 10855 102859450.153000
332 10961 52768840.707500
333 10962 53359540.822500
334 10965 -11655461.773700
335 10966 -102859450.153000
336 11074 3129624246.750000
337 11077 102859450.153000
338 11078 384986772.249000
339 11187 3129624246.750000
340 11188 -102859450.153000
341 11191 384986772.249000
342 11300 22825330.217200
343 11303 -2330634.162380
344 11304 -11169868.443400
345 11307 100528815.991000
346 11413 22825330.217200
347 11414 2330634.162380
348 11417 -11169868.443400
349 11418 -100528815.991000
350 11526 2847825200.210000
351 11529 100528815.991000
352 11530 392176010.585000
353 11639 2847825200.210000
354 11640 -100528815.991000
355 11643 392176010.585000
356 11752 80076045.100400
357 11755 102312384.643000
358 11756 -59659176.657000
359 11759 202841200.634000
360 11865 84293045.100400
361 11866 -102312384.643000
362 11869 -59659176.657000
363 11870 -202841200.634000
364 11978 3463840994.700000
365 11981 202841200.634000
366 11982 -667178153.140000
367 12091 3463840994.700000
368 12092 -202841200.634000
369 12095 -667178153.140000
370 12204 59659176.657000
371 12207 -202841200.634000
372 12317 59659176.657000
373 12318 202841200.634000
374 12430 2046498317.450000
375 12543 2046498317.450000
376 336 4507339372.820000
377 448 -296965303.256000
378 784 4507339372.820000
379 225 -4507339372.820000
380 561 -296965303.256000
381 673 -4507339372.820000
382 562 4507339372.820000
383 674 -30414852966.400002
384 451 -4507339372.820000
385 787 -30414852966.400002
386 788 -4138133736.490000
387 900 -96272656.149300
388 1236 369205636.333000
389 677 4138133736.490000
390 1013 -96272656.149300
391 1125 -369205636.333000
392 1014 369205636.333000
393 1126 -1186547492.880000
394 903 -369205636.333000
395 1239 -1186547492.880000
396 1240 42562563.091900
397 1352 -100431268.152000
398 1688 411768199.424000
399 1129 -42562563.091900
400 1465 -100431268.152000
401 1577 -411768199.424000
402 1466 411768199.424000
403 1578 -1089530870.170000
404 1355 -411768199.424000
405 1691 -1089530870.170000
406 1804 -100431268.152000
407 2140 411768199.424000
408 1917 -100431268.152000
409 2029 -411768199.424000
410 1918 411768199.424000
411 2030 -1089530870.170000
412 1807 -411768199.424000
413 2143 -1089530870.170000
414 2256 -100431268.152000
415 2592 411768199.424000
416 2369 -100431268.152000
417 2481 -411768199.424000
418 2370 411768199.424000
419 2482 -1089530870.170000
420 2259 -411768199.424000
421 2595 -1089530870.170000
422 2708 -100431268.152000
423 3044 411768199.424000
424 2821 -100431268.152000
425 2933 -411768199.424000
426 2822 411768199.424000
427 2934 -1089530870.170000
428 2711 -411768199.424000
429 3047 -1089530870.170000
430 3048 0.000005
431 3160 -100431268.152000
432 3496 411768199.424000
433 2937 -0.000005
434 3273 -100431268.152000
435 3385 -411768199.424000
436 3274 411768199.424000
437 3386 -1089530870.170000
438 3163 -411768199.424000
439 3499 -1089530870.170000
440 3500 -220955086.724000
441 3612 -17958881.195400
442 3948 190813112.701000
443 3389 220955086.724000
444 3725 -17958881.195400
445 3837 -190813112.701000
446 3726 190813112.701000
447 3838 955492851.856000
448 3615 -190813112.701000
449 3951 955492851.856000
450 3952 229121326.651000
451 4064 -189501100.790000
452 4400 419934439.351000
453 3841 -229121326.651000
454 4177 -189501100.790000
455 4289 -419934439.351000
456 4178 419934439.351000
457 4290 -3573215896.120000
458 4067 -419934439.351000
459 4403 -3573215896.120000
460 4404 -405856110.066000
461 4516 -330283.384982
462 4852 14078329.284900
463 4293 405856110.066000
464 4629 -330283.384982
465 4741 -14078329.284900
466 4630 14078329.284900
467 4742 393111659.667000
468 4519 -14078329.284900
469 4855 393111659.667000
470 4856 257197086.659000
471 4968 -42107165.843000
472 5304 271275415.944000
473 4745 -257197086.659000
474 5081 -42107165.843000
475 5193 -271275415.944000
476 5082 271275415.944000
477 5194 244991052.316000
478 4971 -271275415.944000
479 5307 244991052.316000
480 5308 -250959150.035000
481 5420 -550091.813682
482 5756 20316265.908800
483 5197 250959150.035000
484 5533 -550091.813682
485 5645 -20316265.908800
486 5534 20316265.908800
487 5646 488199576.171000
488 5423 -20316265.908800
489 5759 488199576.171000
490 5760 -17216557.310800
491 5872 -33669.611383
492 6208 3099708.597970
493 5649 17216557.310800
494 5985 -33669.611383
495 6097 -3099708.597970
496 5986 3099708.597970
497 6098 189536372.902000
498 5875 -3099708.597970
499 6211 189536372.902000
500 6212 255072314.670000
501 6324 -38764568.058300
502 6660 258172023.268000
503 6101 -255072314.670000
504 6437 -38764568.058300
505 6549 -258172023.268000
506 6438 258172023.268000
507 6550 309763512.804000
508 6327 -258172023.268000
509 6663 309763512.804000
510 6664 -230234655.724000
511 6776 -909567.558023
512 7112 27937367.544700
513 6553 230234655.724000
514 6889 -909567.558023
515 7001 -27937367.544700
516 6890 27937367.544700
517 7002 552436143.207000
518 6779 -27937367.544700
519 7115 552436143.207000
520 7116 24565961.202200
521 7228 -2500158.511760
522 7564 52503328.746900
523 7005 -24565961.202200
524 7341 -2500158.511760
525 7453 -52503328.746900
526 7342 52503328.746900
527 7454 682455617.971000
528 7231 -52503328.746900
529 7567 682455617.971000
530 7568 42009297.327600
531 7680 -6300841.738300
532 8016 94512626.074500
533 7457 -42009297.327600
534 7793 -6300841.738300
535 7905 -94512626.074500
536 7794 94512626.074500
537 7906 810879391.117000
538 7683 -94512626.074500
539 8019 810879391.117000
540 8132 -6300841.738300
541 8468 94512626.074500
542 8245 -6300841.738300
543 8357 -94512626.074500
544 8246 94512626.074500
545 8358 810879391.117000
546 8135 -94512626.074500
547 8471 810879391.117000
548 8472 170358421.633000
549 8584 -22072587.308900
550 8920 264871047.707000
551 8361 -170358421.633000
552 8697 -22072587.308900
553 8809 -264871047.707000
554 8698 264871047.707000
555 8810 1450952572.490000
556 8587 -264871047.707000
557 8923 1450952572.490000
558 8924 -235520568.245000
559 9036 -1471201.978070
560 9372 29350479.462500
561 8813 235520568.245000
562 9149 -1471201.978070
563 9261 -29350479.462500
564 9150 29350479.462500
565 9262 366887929.939000
566 9039 -29350479.462500
567 9375 366887929.939000
568 9376 -27046371.989800
569 9488 -30703.011163
570 9824 2304107.472760
571 9265 27046371.989800
572 9601 -30703.011163
573 9713 -2304107.472760
574 9602 2304107.472760
575 9714 114784621.567000
576 9491 -2304107.472760
577 9827 114784621.567000
578 9828 2110419.595800
579 9940 -81742.932480
580 10276 4414527.068560
581 9717 -2110419.595800
582 10053 -81742.932480
583 10165 -4414527.068560
584 10054 4414527.068560
585 10166 157633457.771000
586 9943 -4414527.068560
587 10279 157633457.771000
588 10280 74699095.439000
589 10392 -7274815.862770
590 10728 79113622.507600
591 10169 -74699095.439000
592 10505 -7274815.862770
593 10617 -79113622.507600
594 10506 79113622.507600
595 10618 436153748.219000
596 10395 -79113622.507600
597 10731 436153748.219000
598 10732 77105368.468100
599 10844 -27649378.933800
600 11180 156218990.976000
601 10621 -77105368.468100
602 10957 -27649378.933800
603 11069 -156218990.976000
604 10958 156218990.976000
605 11070 66132874.234100
606 10847 -156218990.976000
607 11183 66132874.234100
608 11184 -53359540.822500
609 11296 -11655461.773700
610 11632 102859450.153000
611 11073 53359540.822500
612 11409 -11655461.773700
613 11521 -102859450.153000
614 11410 102859450.153000
615 11522 384986772.249000
616 11299 -102859450.153000
617 11635 384986772.249000
618 11636 -2330634.162380
619 11748 -11169868.443400
620 12084 100528815.991000
621 11525 2330634.162380
622 11861 -11169868.443400
623 11973 -100528815.991000
624 11862 100528815.991000
625 11974 392176010.585000
626 11751 -100528815.991000
627 12087 392176010.585000
628 12088 102312384.643000
629 12200 -59659176.657000
630 12536 202841200.634000
631 11977 -102312384.643000
632 12313 -59659176.657000
633 12425 -202841200.634000
634 12314 202841200.634000
635 12426 -667178153.140000
636 12203 -202841200.634000
637 12539 -667178153.140000
638 12540 -202841200.634000
639 12429 202841200.634000
------------------------------
Matrix: CSR sorted
0 -1220441801 0.000000
1 0 296965120.000748
2 3 4507339372.820000
3 4 -296965303.256000
4 7 4507339372.820000
5 113 296965303.256000
6 114 -4507339372.820000
7 117 -296965303.256000
8 118 -4507339372.820000
9 225 -4507339372.820000
10 226 167239646968.000000
11 229 4507339372.820000
12 230 -30414852966.400002
13 336 4507339372.820000
14 339 167239646968.000000
15 340 -4507339372.820000
16 343 -30414852966.400002
17 448 -296965303.256000
18 451 -4507339372.820000
19 452 393237959.405000
20 455 -4138133736.490000
21 456 -96272656.149300
22 459 369205636.333000
23 561 -296965303.256000
24 562 4507339372.820000
25 565 393237959.405000
26 566 4138133736.490000
27 569 -96272656.149300
28 570 -369205636.333000
29 673 -4507339372.820000
30 674 -30414852966.400002
31 677 4138133736.490000
32 678 171258001691.000000
33 681 369205636.333000
34 682 -1186547492.880000
35 784 4507339372.820000
36 787 -30414852966.400002
37 788 -4138133736.490000
38 791 171258001691.000000
39 792 -369205636.333000
40 795 -1186547492.880000
41 900 -96272656.149300
42 903 -369205636.333000
43 904 196873924.302000
44 907 42562563.091900
45 908 -100431268.152000
46 911 411768199.424000
47 1013 -96272656.149300
48 1014 369205636.333000
49 1017 196873924.302000
50 1018 -42562563.091900
51 1021 -100431268.152000
52 1022 -411768199.424000
53 1125 -369205636.333000
54 1126 -1186547492.880000
55 1129 -42562563.091900
56 1130 8484384828.990000
57 1133 411768199.424000
58 1134 -1089530870.170000
59 1236 369205636.333000
60 1239 -1186547492.880000
61 1240 42562563.091900
62 1243 8484384828.990000
63 1244 -411768199.424000
64 1247 -1089530870.170000
65 1352 -100431268.152000
66 1355 -411768199.424000
67 1356 201032536.305000
68 1360 -100431268.152000
69 1363 411768199.424000
70 1465 -100431268.152000
71 1466 411768199.424000
72 1469 201032536.305000
73 1473 -100431268.152000
74 1474 -411768199.424000
75 1577 -411768199.424000
76 1578 -1089530870.170000
77 1582 8932060210.889999
78 1585 411768199.424000
79 1586 -1089530870.170000
80 1688 411768199.424000
81 1691 -1089530870.170000
82 1695 8932060210.889999
83 1696 -411768199.424000
84 1699 -1089530870.170000
85 1804 -100431268.152000
86 1807 -411768199.424000
87 1808 201032536.305000
88 1812 -100431268.152000
89 1815 411768199.424000
90 1917 -100431268.152000
91 1918 411768199.424000
92 1921 201032536.305000
93 1925 -100431268.152000
94 1926 -411768199.424000
95 2029 -411768199.424000
96 2030 -1089530870.170000
97 2034 8932060210.889999
98 2037 411768199.424000
99 2038 -1089530870.170000
100 2140 411768199.424000
101 2143 -1089530870.170000
102 2147 8932060210.889999
103 2148 -411768199.424000
104 2151 -1089530870.170000
105 2256 -100431268.152000
106 2259 -411768199.424000
107 2260 201032536.305000
108 2264 -100431268.152000
109 2267 411768199.424000
110 2369 -100431268.152000
111 2370 411768199.424000
112 2373 201032536.305000
113 2377 -100431268.152000
114 2378 -411768199.424000
115 2481 -411768199.424000
116 2482 -1089530870.170000
117 2486 8932060210.889999
118 2489 411768199.424000
119 2490 -1089530870.170000
120 2592 411768199.424000
121 2595 -1089530870.170000
122 2599 8932060210.889999
123 2600 -411768199.424000
124 2603 -1089530870.170000
125 2708 -100431268.152000
126 2711 -411768199.424000
127 2712 201032536.305000
128 2715 0.000005
129 2716 -100431268.152000
130 2719 411768199.424000
131 2821 -100431268.152000
132 2822 411768199.424000
133 2825 201032536.305000
134 2826 -0.000005
135 2829 -100431268.152000
136 2830 -411768199.424000
137 2933 -411768199.424000
138 2934 -1089530870.170000
139 2937 -0.000005
140 2938 8932060210.889999
141 2941 411768199.424000
142 2942 -1089530870.170000
143 3044 411768199.424000
144 3047 -1089530870.170000
145 3048 0.000005
146 3051 8932060210.889999
147 3052 -411768199.424000
148 3055 -1089530870.170000
149 3160 -100431268.152000
150 3163 -411768199.424000
151 3164 118560149.348000
152 3167 -220955086.724000
153 3168 -17958881.195400
154 3171 190813112.701000
155 3273 -100431268.152000
156 3274 411768199.424000
157 3277 118560149.348000
158 3278 220955086.724000
159 3281 -17958881.195400
160 3282 -190813112.701000
161 3385 -411768199.424000
162 3386 -1089530870.170000
163 3389 220955086.724000
164 3390 7565315898.480000
165 3393 190813112.701000
166 3394 955492851.856000
167 3496 411768199.424000
168 3499 -1089530870.170000
169 3500 -220955086.724000
170 3503 7565315898.480000
171 3504 -190813112.701000
172 3507 955492851.856000
173 3612 -17958881.195400
174 3615 -190813112.701000
175 3616 207459981.986000
176 3619 229121326.651000
177 3620 -189501100.790000
178 3623 419934439.351000
179 3725 -17958881.195400
180 3726 190813112.701000
181 3729 207459981.986000
182 3730 -229121326.651000
183 3733 -189501100.790000
184 3734 -419934439.351000
185 3837 -190813112.701000
186 3838 955492851.856000
187 3841 -229121326.651000
188 3842 8533651124.350000
189 3845 419934439.351000
190 3846 -3573215896.120000
191 3948 190813112.701000
192 3951 955492851.856000
193 3952 229121326.651000
194 3955 8533651124.350000
195 3956 -419934439.351000
196 3959 -3573215896.120000
197 4064 -189501100.790000
198 4067 -419934439.351000
